Program,Role,District,Sheet,MetricCode,ResponseCount,TotalDistrictRespondents,ResponseRatePct
CLSS,Observer,Agar Malwa,Q56,56.5,8.0,8.0,100.0
CLSS,Observer,Agar Malwa,Q56,56.6,8.0,8.0,100.0
CLSS,Observer,Agar Malwa,Q56,56.7,7.0,8.0,87.5
CLSS,Observer,Agar Malwa,Q56,56.8,4.0,8.0,50.0
CLSS,Observer,Alirajpur,Q56,56.1,12.0,15.0,80.0
CLSS,Observer,Alirajpur,Q56,56.2,14.0,15.0,93.33
CLSS,Observer,Alirajpur,Q56,56.3,14.0,15.0,93.33
CLSS,Observer,Alirajpur,Q56,56.4,14.0,15.0,93.33
CLSS,Observer,Alirajpur,Q56,56.5,13.0,15.0,86.67
CLSS,Observer,Alirajpur,Q56,56.6,12.0,15.0,80.0
CLSS,Observer,Alirajpur,Q56,56.7,12.0,15.0,80.0
CLSS,Observer,Alirajpur,Q56,56.8,2.0,15.0,13.33
CLSS,Observer,Anuppur,Q56,56.1,13.0,14.0,92.86
CLSS,Observer,Anuppur,Q56,56.2,13.0,14.0,92.86
CLSS,Observer,Anuppur,Q56,56.3,13.0,14.0,92.86
CLSS,Observer,Anuppur,Q56,56.4,13.0,14.0,92.86
CLSS,Observer,Anuppur,Q56,56.5,13.0,14.0,92.86
CLSS,Observer,Anuppur,Q56,56.6,13.0,14.0,92.86
CLSS,Observer,Anuppur,Q56,56.7,12.0,14.0,85.71
CLSS,Observer,Anuppur,Q56,56.8,6.0,14.0,42.86
CLSS,Observer,Ashoknagar,Q56,56.1,10.0,14.0,71.43
CLSS,Observer,Ashoknagar,Q56,56.2,11.0,14.0,78.57
CLSS,Observer,Ashoknagar,Q56,56.3,13.0,14.0,92.86
CLSS,Observer,Ashoknagar,Q56,56.4,12.0,14.0,85.71
CLSS,Observer,Ashoknagar,Q56,56.5,12.0,14.0,85.71
CLSS,Observer,Ashoknagar,Q56,56.6,12.0,14.0,85.71
CLSS,Observer,Ashoknagar,Q56,56.7,12.0,14.0,85.71
CLSS,Observer,Ashoknagar,Q56,56.8,3.0,14.0,21.43
CLSS,Observer,Balaghat,Q56,56.1,1.0,1.0,100.0
CLSS,Observer,Balaghat,Q56,56.2,1.0,1.0,100.0
CLSS,Observer,Balaghat,Q56,56.3,1.0,1.0,100.0
CLSS,Observer,Balaghat,Q56,56.4,1.0,1.0,100.0
CLSS,Observer,Balaghat,Q56,56.5,1.0,1.0,100.0
CLSS,Observer,Balaghat,Q56,56.6,1.0,1.0,100.0
CLSS,Observer,Balaghat,Q56,56.7,1.0,1.0,100.0
CLSS,Observer,Balaghat,Q56,56.8,0.0,1.0,0.0
CLSS,Observer,Barwani,Q56,56.1,8.0,9.0,88.89
CLSS,Observer,Barwani,Q56,56.2,8.0,9.0,88.89
CLSS,Observer,Barwani,Q56,56.3,9.0,9.0,100.0
CLSS,Observer,Barwani,Q56,56.4,9.0,9.0,100.0
CLSS,Observer,Barwani,Q56,56.5,9.0,9.0,100.0
CLSS,Observer,Barwani,Q56,56.6,8.0,9.0,88.89
CLSS,Observer,Barwani,Q56,56.7,8.0,9.0,88.89
CLSS,Observer,Barwani,Q56,56.8,3.0,9.0,33.33
CLSS,Observer,Betul,Q56,56.1,4.0,4.0,100.0
CLSS,Observer,Betul,Q56,56.2,4.0,4.0,100.0
CLSS,Observer,Betul,Q56,56.3,4.0,4.0,100.0
CLSS,Observer,Betul,Q56,56.4,4.0,4.0,100.0
CLSS,Observer,Betul,Q56,56.5,4.0,4.0,100.0
CLSS,Observer,Betul,Q56,56.6,4.0,4.0,100.0
CLSS,Observer,Betul,Q56,56.7,4.0,4.0,100.0
CLSS,Observer,Betul,Q56,56.8,2.0,4.0,50.0
CLSS,Observer,Bhind,Q56,56.1,10.0,10.0,100.0
CLSS,Observer,Bhind,Q56,56.2,10.0,10.0,100.0
CLSS,Observer,Bhind,Q56,56.3,10.0,10.0,100.0
CLSS,Observer,Bhind,Q56,56.4,8.0,10.0,80.0
CLSS,Observer,Bhind,Q56,56.5,10.0,10.0,100.0
CLSS,Observer,Bhind,Q56,56.6,10.0,10.0,100.0
CLSS,Observer,Bhind,Q56,56.7,9.0,10.0,90.0
CLSS,Observer,Bhind,Q56,56.8,3.0,10.0,30.0
CLSS,Observer,Bhopal,Q56,56.1,12.0,16.0,75.0
CLSS,Observer,Bhopal,Q56,56.2,14.0,16.0,87.5
CLSS,Observer,Bhopal,Q56,56.3,13.0,16.0,81.25
CLSS,Observer,Bhopal,Q56,56.4,14.0,16.0,87.5
CLSS,Observer,Bhopal,Q56,56.5,12.0,16.0,75.0
CLSS,Observer,Bhopal,Q56,56.6,12.0,16.0,75.0
CLSS,Observer,Bhopal,Q56,56.7,12.0,16.0,75.0
CLSS,Observer,Bhopal,Q56,56.8,3.0,16.0,18.75
CLSS,Observer,Burhanpur,Q56,56.1,2.0,2.0,100.0
CLSS,Observer,Burhanpur,Q56,56.2,2.0,2.0,100.0
CLSS,Observer,Burhanpur,Q56,56.3,2.0,2.0,100.0
CLSS,Observer,Burhanpur,Q56,56.4,2.0,2.0,100.0
CLSS,Observer,Burhanpur,Q56,56.5,2.0,2.0,100.0
CLSS,Observer,Burhanpur,Q56,56.6,2.0,2.0,100.0
CLSS,Observer,Burhanpur,Q56,56.7,2.0,2.0,100.0
CLSS,Observer,Burhanpur,Q56,56.8,0.0,2.0,0.0
CLSS,Observer,Chhatarpur,Q56,56.1,14.0,18.0,77.78
CLSS,Observer,Chhatarpur,Q56,56.2,17.0,18.0,94.44
CLSS,Observer,Chhatarpur,Q56,56.3,16.0,18.0,88.89
CLSS,Observer,Chhatarpur,Q56,56.4,15.0,18.0,83.33
CLSS,Observer,Chhatarpur,Q56,56.5,15.0,18.0,83.33
CLSS,Observer,Chhatarpur,Q56,56.6,15.0,18.0,83.33
CLSS,Observer,Chhatarpur,Q56,56.7,15.0,18.0,83.33
CLSS,Observer,Chhatarpur,Q56,56.8,5.0,18.0,27.78
CLSS,Observer,Chhindwara,Q56,56.1,8.0,11.0,72.73
CLSS,Observer,Chhindwara,Q56,56.2,10.0,11.0,90.91
CLSS,Observer,Chhindwara,Q56,56.3,10.0,11.0,90.91
CLSS,Observer,Chhindwara,Q56,56.4,10.0,11.0,90.91
CLSS,Observer,Chhindwara,Q56,56.5,9.0,11.0,81.82
CLSS,Observer,Chhindwara,Q56,56.6,10.0,11.0,90.91
CLSS,Observer,Chhindwara,Q56,56.7,9.0,11.0,81.82
CLSS,Observer,Chhindwara,Q56,56.8,3.0,11.0,27.27
CLSS,Observer,Damoh,Q56,56.1,3.0,4.0,75.0
CLSS,Observer,Damoh,Q56,56.2,4.0,4.0,100.0
CLSS,Observer,Damoh,Q56,56.3,4.0,4.0,100.0
CLSS,Observer,Damoh,Q56,56.4,4.0,4.0,100.0
CLSS,Observer,Damoh,Q56,56.5,3.0,4.0,75.0
CLSS,Observer,Damoh,Q56,56.6,4.0,4.0,100.0
CLSS,Observer,Damoh,Q56,56.7,4.0,4.0,100.0
CLSS,Observer,Damoh,Q56,56.8,1.0,4.0,25.0
CLSS,Observer,Datia,Q56,56.1,17.0,20.0,85.0
CLSS,Observer,Datia,Q56,56.2,19.0,20.0,95.0
CLSS,Observer,Datia,Q56,56.3,19.0,20.0,95.0
CLSS,Observer,Datia,Q56,56.4,20.0,20.0,100.0
CLSS,Observer,Datia,Q56,56.5,19.0,20.0,95.0
CLSS,Observer,Datia,Q56,56.6,19.0,20.0,95.0
CLSS,Observer,Datia,Q56,56.7,19.0,20.0,95.0
CLSS,Observer,Datia,Q56,56.8,7.0,20.0,35.0
CLSS,Observer,Dhar,Q56,56.1,10.0,11.0,90.91
CLSS,Observer,Dhar,Q56,56.2,10.0,11.0,90.91
CLSS,Observer,Dhar,Q56,56.3,11.0,11.0,100.0
CLSS,Observer,Dhar,Q56,56.4,11.0,11.0,100.0
CLSS,Observer,Dhar,Q56,56.5,11.0,11.0,100.0
CLSS,Observer,Dhar,Q56,56.6,10.0,11.0,90.91
CLSS,Observer,Dhar,Q56,56.7,9.0,11.0,81.82
CLSS,Observer,Dhar,Q56,56.8,5.0,11.0,45.45
CLSS,Observer,Guna,Q56,56.1,15.0,16.0,93.75
CLSS,Observer,Guna,Q56,56.2,14.0,16.0,87.5
CLSS,Observer,Guna,Q56,56.3,14.0,16.0,87.5
CLSS,Observer,Guna,Q56,56.4,14.0,16.0,87.5
CLSS,Observer,Guna,Q56,56.5,14.0,16.0,87.5
CLSS,Observer,Guna,Q56,56.6,14.0,16.0,87.5
CLSS,Observer,Guna,Q56,56.7,14.0,16.0,87.5
CLSS,Observer,Guna,Q56,56.8,5.0,16.0,31.25
CLSS,Observer,Harda,Q56,56.1,3.0,3.0,100.0
CLSS,Observer,Harda,Q56,56.2,2.0,3.0,66.67
CLSS,Observer,Harda,Q56,56.3,3.0,3.0,100.0
CLSS,Observer,Harda,Q56,56.4,3.0,3.0,100.0
CLSS,Observer,Harda,Q56,56.5,3.0,3.0,100.0
CLSS,Observer,Harda,Q56,56.6,3.0,3.0,100.0
CLSS,Observer,Harda,Q56,56.7,3.0,3.0,100.0
CLSS,Observer,Harda,Q56,56.8,1.0,3.0,33.33
CLSS,Observer,Indore,Q56,56.1,6.0,6.0,100.0
CLSS,Observer,Indore,Q56,56.2,6.0,6.0,100.0
CLSS,Observer,Indore,Q56,56.3,5.0,6.0,83.33
CLSS,Observer,Indore,Q56,56.4,5.0,6.0,83.33
CLSS,Observer,Indore,Q56,56.5,6.0,6.0,100.0
CLSS,Observer,Indore,Q56,56.6,6.0,6.0,100.0
CLSS,Observer,Indore,Q56,56.7,5.0,6.0,83.33
CLSS,Observer,Indore,Q56,56.8,3.0,6.0,50.0
CLSS,Observer,Jabalpur,Q56,56.1,5.0,8.0,62.5
CLSS,Observer,Jabalpur,Q56,56.2,6.0,8.0,75.0
CLSS,Observer,Jabalpur,Q56,56.3,6.0,8.0,75.0
CLSS,Observer,Jabalpur,Q56,56.4,6.0,8.0,75.0
CLSS,Observer,Jabalpur,Q56,56.5,6.0,8.0,75.0
CLSS,Observer,Jabalpur,Q56,56.6,5.0,8.0,62.5
CLSS,Observer,Jabalpur,Q56,56.7,6.0,8.0,75.0
CLSS,Observer,Jabalpur,Q56,56.8,2.0,8.0,25.0
CLSS,Observer,Jhabua,Q56,56.1,5.0,5.0,100.0
CLSS,Observer,Jhabua,Q56,56.2,5.0,5.0,100.0
CLSS,Observer,Jhabua,Q56,56.3,5.0,5.0,100.0
CLSS,Observer,Jhabua,Q56,56.4,5.0,5.0,100.0
CLSS,Observer,Jhabua,Q56,56.5,5.0,5.0,100.0
CLSS,Observer,Jhabua,Q56,56.6,5.0,5.0,100.0
CLSS,Observer,Jhabua,Q56,56.7,5.0,5.0,100.0
CLSS,Observer,Jhabua,Q56,56.8,0.0,5.0,0.0
CLSS,Observer,Katni,Q56,56.1,5.0,6.0,83.33
CLSS,Observer,Katni,Q56,56.2,5.0,6.0,83.33
CLSS,Observer,Katni,Q56,56.3,5.0,6.0,83.33
CLSS,Observer,Katni,Q56,56.4,4.0,6.0,66.67
CLSS,Observer,Katni,Q56,56.5,5.0,6.0,83.33
CLSS,Observer,Katni,Q56,56.6,4.0,6.0,66.67
CLSS,Observer,Katni,Q56,56.7,4.0,6.0,66.67
CLSS,Observer,Katni,Q56,56.8,2.0,6.0,33.33
CLSS,Observer,Khandwa,Q56,56.1,11.0,16.0,68.75
CLSS,Observer,Khandwa,Q56,56.2,11.0,16.0,68.75
CLSS,Observer,Khandwa,Q56,56.3,11.0,16.0,68.75
CLSS,Observer,Khandwa,Q56,56.4,13.0,16.0,81.25
CLSS,Observer,Khandwa,Q56,56.5,11.0,16.0,68.75
CLSS,Observer,Khandwa,Q56,56.6,10.0,16.0,62.5
CLSS,Observer,Khandwa,Q56,56.7,11.0,16.0,68.75
CLSS,Observer,Khandwa,Q56,56.8,5.0,16.0,31.25
CLSS,Observer,Khargone,Q56,56.1,33.0,39.0,84.62
CLSS,Observer,Khargone,Q56,56.2,36.0,39.0,92.31
CLSS,Observer,Khargone,Q56,56.3,35.0,39.0,89.74
CLSS,Observer,Khargone,Q56,56.4,36.0,39.0,92.31
CLSS,Observer,Khargone,Q56,56.5,35.0,39.0,89.74
CLSS,Observer,Khargone,Q56,56.6,35.0,39.0,89.74
CLSS,Observer,Khargone,Q56,56.7,33.0,39.0,84.62
CLSS,Observer,Khargone,Q56,56.8,13.0,39.0,33.33
CLSS,Observer,Mandla,Q56,56.1,10.0,11.0,90.91
CLSS,Observer,Mandla,Q56,56.2,10.0,11.0,90.91
CLSS,Observer,Mandla,Q56,56.3,10.0,11.0,90.91
CLSS,Observer,Mandla,Q56,56.4,10.0,11.0,90.91
CLSS,Observer,Mandla,Q56,56.5,10.0,11.0,90.91
CLSS,Observer,Mandla,Q56,56.6,10.0,11.0,90.91
CLSS,Observer,Mandla,Q56,56.7,10.0,11.0,90.91
CLSS,Observer,Mandla,Q56,56.8,1.0,11.0,9.09
CLSS,Observer,Mandsaur,Q56,56.1,7.0,8.0,87.5
CLSS,Observer,Mandsaur,Q56,56.2,8.0,8.0,100.0
CLSS,Observer,Mandsaur,Q56,56.3,8.0,8.0,100.0
CLSS,Observer,Mandsaur,Q56,56.4,8.0,8.0,100.0
CLSS,Observer,Mandsaur,Q56,56.5,8.0,8.0,100.0
CLSS,Observer,Mandsaur,Q56,56.6,8.0,8.0,100.0
CLSS,Observer,Mandsaur,Q56,56.7,7.0,8.0,87.5
CLSS,Observer,Mandsaur,Q56,56.8,3.0,8.0,37.5
CLSS,Observer,Morena,Q56,56.1,35.0,39.0,89.74
CLSS,Observer,Morena,Q56,56.2,34.0,39.0,87.18
CLSS,Observer,Morena,Q56,56.3,35.0,39.0,89.74
CLSS,Observer,Morena,Q56,56.4,36.0,39.0,92.31
CLSS,Observer,Morena,Q56,56.5,33.0,39.0,84.62
CLSS,Observer,Morena,Q56,56.6,35.0,39.0,89.74
CLSS,Observer,Morena,Q56,56.7,35.0,39.0,89.74
CLSS,Observer,Morena,Q56,56.8,9.0,39.0,23.08
CLSS,Observer,Narmadapuram,Q56,56.1,11.0,12.0,91.67
CLSS,Observer,Narmadapuram,Q56,56.2,12.0,12.0,100.0
CLSS,Observer,Narmadapuram,Q56,56.3,12.0,12.0,100.0
CLSS,Observer,Narmadapuram,Q56,56.4,12.0,12.0,100.0
CLSS,Observer,Narmadapuram,Q56,56.5,11.0,12.0,91.67
CLSS,Observer,Narmadapuram,Q56,56.6,11.0,12.0,91.67
CLSS,Observer,Narmadapuram,Q56,56.7,12.0,12.0,100.0
CLSS,Observer,Narmadapuram,Q56,56.8,1.0,12.0,8.33
CLSS,Observer,Narsinghpur,Q56,56.1,4.0,4.0,100.0
CLSS,Observer,Narsinghpur,Q56,56.2,4.0,4.0,100.0
CLSS,Observer,Narsinghpur,Q56,56.3,4.0,4.0,100.0
CLSS,Observer,Narsinghpur,Q56,56.4,4.0,4.0,100.0
CLSS,Observer,Narsinghpur,Q56,56.5,4.0,4.0,100.0
CLSS,Observer,Narsinghpur,Q56,56.6,4.0,4.0,100.0
CLSS,Observer,Narsinghpur,Q56,56.7,4.0,4.0,100.0
CLSS,Observer,Narsinghpur,Q56,56.8,0.0,4.0,0.0
CLSS,Observer,Neemuch,Q56,56.1,3.0,5.0,60.0
CLSS,Observer,Neemuch,Q56,56.2,4.0,5.0,80.0
CLSS,Observer,Neemuch,Q56,56.3,4.0,5.0,80.0
CLSS,Observer,Neemuch,Q56,56.4,5.0,5.0,100.0
CLSS,Observer,Neemuch,Q56,56.5,3.0,5.0,60.0
CLSS,Observer,Neemuch,Q56,56.6,3.0,5.0,60.0
CLSS,Observer,Neemuch,Q56,56.7,3.0,5.0,60.0
CLSS,Observer,Neemuch,Q56,56.8,0.0,5.0,0.0
CLSS,Observer,Niwari,Q56,56.1,5.0,8.0,62.5
CLSS,Observer,Niwari,Q56,56.2,6.0,8.0,75.0
CLSS,Observer,Niwari,Q56,56.3,8.0,8.0,100.0
CLSS,Observer,Niwari,Q56,56.4,7.0,8.0,87.5
CLSS,Observer,Niwari,Q56,56.5,7.0,8.0,87.5
CLSS,Observer,Niwari,Q56,56.6,7.0,8.0,87.5
CLSS,Observer,Niwari,Q56,56.7,7.0,8.0,87.5
CLSS,Observer,Niwari,Q56,56.8,1.0,8.0,12.5
CLSS,Observer,Panna,Q56,56.1,9.0,11.0,81.82
CLSS,Observer,Panna,Q56,56.2,9.0,11.0,81.82
CLSS,Observer,Panna,Q56,56.3,9.0,11.0,81.82
CLSS,Observer,Panna,Q56,56.4,9.0,11.0,81.82
CLSS,Observer,Panna,Q56,56.5,9.0,11.0,81.82
CLSS,Observer,Panna,Q56,56.6,10.0,11.0,90.91
CLSS,Observer,Panna,Q56,56.7,9.0,11.0,81.82
CLSS,Observer,Panna,Q56,56.8,5.0,11.0,45.45
CLSS,Observer,Raisen,Q56,56.1,17.0,18.0,94.44
CLSS,Observer,Raisen,Q56,56.2,17.0,18.0,94.44
CLSS,Observer,Raisen,Q56,56.3,17.0,18.0,94.44
CLSS,Observer,Raisen,Q56,56.4,17.0,18.0,94.44
CLSS,Observer,Raisen,Q56,56.5,17.0,18.0,94.44
CLSS,Observer,Raisen,Q56,56.6,17.0,18.0,94.44
CLSS,Observer,Raisen,Q56,56.7,17.0,18.0,94.44
CLSS,Observer,Raisen,Q56,56.8,5.0,18.0,27.78
CLSS,Observer,Rajgarh,Q56,56.1,11.0,11.0,100.0
CLSS,Observer,Rajgarh,Q56,56.2,10.0,11.0,90.91
CLSS,Observer,Rajgarh,Q56,56.3,9.0,11.0,81.82
CLSS,Observer,Rajgarh,Q56,56.4,10.0,11.0,90.91
CLSS,Observer,Rajgarh,Q56,56.5,9.0,11.0,81.82
CLSS,Observer,Rajgarh,Q56,56.6,10.0,11.0,90.91
CLSS,Observer,Rajgarh,Q56,56.7,10.0,11.0,90.91
CLSS,Observer,Rajgarh,Q56,56.8,1.0,11.0,9.09
CLSS,Observer,Ratlam,Q56,56.1,3.0,5.0,60.0
CLSS,Observer,Ratlam,Q56,56.2,4.0,5.0,80.0
CLSS,Observer,Ratlam,Q56,56.3,4.0,5.0,80.0
CLSS,Observer,Ratlam,Q56,56.4,4.0,5.0,80.0
CLSS,Observer,Ratlam,Q56,56.5,4.0,5.0,80.0
CLSS,Observer,Ratlam,Q56,56.6,4.0,5.0,80.0
CLSS,Observer,Ratlam,Q56,56.7,4.0,5.0,80.0
CLSS,Observer,Ratlam,Q56,56.8,3.0,5.0,60.0
CLSS,Observer,Rewa,Q56,56.1,1.0,1.0,100.0
CLSS,Observer,Rewa,Q56,56.2,1.0,1.0,100.0
CLSS,Observer,Rewa,Q56,56.3,1.0,1.0,100.0
CLSS,Observer,Rewa,Q56,56.4,1.0,1.0,100.0
CLSS,Observer,Rewa,Q56,56.5,1.0,1.0,100.0
CLSS,Observer,Rewa,Q56,56.6,1.0,1.0,100.0
CLSS,Observer,Rewa,Q56,56.7,1.0,1.0,100.0
CLSS,Observer,Rewa,Q56,56.8,0.0,1.0,0.0
CLSS,Observer,Sagar,Q56,56.1,12.0,15.0,80.0
CLSS,Observer,Sagar,Q56,56.2,12.0,15.0,80.0
CLSS,Observer,Sagar,Q56,56.3,13.0,15.0,86.67
CLSS,Observer,Sagar,Q56,56.4,11.0,15.0,73.33
CLSS,Observer,Sagar,Q56,56.5,12.0,15.0,80.0
CLSS,Observer,Sagar,Q56,56.6,13.0,15.0,86.67
CLSS,Observer,Sagar,Q56,56.7,11.0,15.0,73.33
CLSS,Observer,Sagar,Q56,56.8,3.0,15.0,20.0
CLSS,Observer,Satna,Q56,56.1,9.0,10.0,90.0
CLSS,Observer,Satna,Q56,56.2,10.0,10.0,100.0
CLSS,Observer,Satna,Q56,56.3,9.0,10.0,90.0
CLSS,Observer,Satna,Q56,56.4,10.0,10.0,100.0
CLSS,Observer,Satna,Q56,56.5,9.0,10.0,90.0
CLSS,Observer,Satna,Q56,56.6,10.0,10.0,100.0
CLSS,Observer,Satna,Q56,56.7,10.0,10.0,100.0
CLSS,Observer,Satna,Q56,56.8,4.0,10.0,40.0
CLSS,Observer,Seoni,Q56,56.1,25.0,29.0,86.21
CLSS,Observer,Seoni,Q56,56.2,28.0,29.0,96.55
CLSS,Observer,Seoni,Q56,56.3,28.0,29.0,96.55
CLSS,Observer,Seoni,Q56,56.4,28.0,29.0,96.55
CLSS,Observer,Seoni,Q56,56.5,26.0,29.0,89.66
CLSS,Observer,Seoni,Q56,56.6,27.0,29.0,93.1
CLSS,Observer,Seoni,Q56,56.7,26.0,29.0,89.66
CLSS,Observer,Seoni,Q56,56.8,7.0,29.0,24.14
CLSS,Observer,Shahdol,Q56,56.1,11.0,11.0,100.0
CLSS,Observer,Shahdol,Q56,56.2,11.0,11.0,100.0
CLSS,Observer,Shahdol,Q56,56.3,11.0,11.0,100.0
CLSS,Observer,Shahdol,Q56,56.4,11.0,11.0,100.0
CLSS,Observer,Shahdol,Q56,56.5,11.0,11.0,100.0
CLSS,Observer,Shahdol,Q56,56.6,11.0,11.0,100.0
CLSS,Observer,Shahdol,Q56,56.7,11.0,11.0,100.0
CLSS,Observer,Shahdol,Q56,56.8,7.0,11.0,63.64
CLSS,Observer,Shajapur,Q56,56.1,13.0,13.0,100.0
CLSS,Observer,Shajapur,Q56,56.2,13.0,13.0,100.0
CLSS,Observer,Shajapur,Q56,56.3,13.0,13.0,100.0
CLSS,Observer,Shajapur,Q56,56.4,13.0,13.0,100.0
CLSS,Observer,Shajapur,Q56,56.5,12.0,13.0,92.31
CLSS,Observer,Shajapur,Q56,56.6,13.0,13.0,100.0
CLSS,Observer,Shajapur,Q56,56.7,12.0,13.0,92.31
CLSS,Observer,Shajapur,Q56,56.8,5.0,13.0,38.46
CLSS,Observer,Sheopur,Q56,56.1,18.0,24.0,75.0
CLSS,Observer,Sheopur,Q56,56.2,22.0,24.0,91.67
CLSS,Observer,Sheopur,Q56,56.3,20.0,24.0,83.33
CLSS,Observer,Sheopur,Q56,56.4,19.0,24.0,79.17
CLSS,Observer,Sheopur,Q56,56.5,20.0,24.0,83.33
CLSS,Observer,Sheopur,Q56,56.6,21.0,24.0,87.5
CLSS,Observer,Sheopur,Q56,56.7,20.0,24.0,83.33
CLSS,Observer,Sheopur,Q56,56.8,8.0,24.0,33.33
CLSS,Observer,Shivpuri,Q56,56.1,4.0,7.0,57.14
CLSS,Observer,Shivpuri,Q56,56.2,5.0,7.0,71.43
CLSS,Observer,Shivpuri,Q56,56.3,5.0,7.0,71.43
CLSS,Observer,Shivpuri,Q56,56.4,5.0,7.0,71.43
CLSS,Observer,Shivpuri,Q56,56.5,4.0,7.0,57.14
CLSS,Observer,Shivpuri,Q56,56.6,5.0,7.0,71.43
CLSS,Observer,Shivpuri,Q56,56.7,4.0,7.0,57.14
CLSS,Observer,Shivpuri,Q56,56.8,4.0,7.0,57.14
CLSS,Observer,Sidhi,Q56,56.1,4.0,4.0,100.0
CLSS,Observer,Sidhi,Q56,56.2,4.0,4.0,100.0
CLSS,Observer,Sidhi,Q56,56.3,4.0,4.0,100.0
CLSS,Observer,Sidhi,Q56,56.4,4.0,4.0,100.0
CLSS,Observer,Sidhi,Q56,56.5,4.0,4.0,100.0
CLSS,Observer,Sidhi,Q56,56.6,4.0,4.0,100.0
CLSS,Observer,Sidhi,Q56,56.7,4.0,4.0,100.0
CLSS,Observer,Sidhi,Q56,56.8,1.0,4.0,25.0
CLSS,Observer,Singrauli,Q56,56.1,1.0,1.0,100.0
CLSS,Observer,Singrauli,Q56,56.2,1.0,1.0,100.0
CLSS,Observer,Singrauli,Q56,56.3,1.0,1.0,100.0
CLSS,Observer,Singrauli,Q56,56.4,1.0,1.0,100.0
